       COLNR	       ROWNR	         ZNR	           X	           Y	           Z	        TIME	          pH	          pe	     calcite	   d_calcite	    siderite	  d_siderite	      gypsum	    d_gypsum	     SiO2(a)	   d_SiO2(a)	    gibbsite	  d_gibbsite	  Fe(OH)3(a)	d_Fe(OH)3(a)	          pH	          Cl	        C(4)	          Ca	          Mg	          Na	           K	       Fe(2)	       Fe(3)	       Mn(2)	          Al	          Si	        S(6)	       water	         Cat	         Caq	
           1	          15	           1	      0.0725	         0.5	         0.5	          12	       5.168	       4.485	           0	           0	    0.007736	  -7.775e-09	    0.005168	    4.81e-10	      0.1424	   3.464e-11	   0.0008842	  -1.062e-11	   0.0006514	   9.467e-09	       5.168	   0.0001206	    0.007528	     0.01199	   0.0009712	    0.001391	   0.0007922	     0.03736	   1.539e-06	   9.898e-06	   7.172e-06	    0.001883	     0.05105	      0.3498	    0.009363	    0.004195	
           1	          16	           1	      0.0775	         0.5	         0.5	          12	       5.168	       4.485	           0	           0	    0.007729	    -2.3e-09	    0.005193	   5.979e-10	      0.1424	   6.508e-11	   0.0008825	   -2.92e-12	   0.0006511	   3.852e-09	       5.168	   0.0001211	    0.007526	     0.01199	   0.0009717	    0.001391	   0.0007918	      0.0373	   1.538e-06	   9.919e-06	    7.15e-06	    0.001883	     0.05099	      0.3498	    0.009389	    0.004196	
           1	          17	           1	      0.0825	         0.5	         0.5	          12	       5.169	       4.484	           0	           0	    0.007722	   1.795e-08	    0.005216	    5.35e-10	      0.1424	   7.173e-11	   0.0008824	   2.415e-11	   0.0006515	   -1.95e-08	       5.169	   0.0001218	    0.007522	       0.012	   0.0009725	    0.001391	   0.0007913	     0.03722	   1.536e-06	   9.946e-06	   7.121e-06	    0.001883	     0.05092	      0.3498	    0.009413	    0.004197	
           1	          18	           1	      0.0875	         0.5	         0.5	          12	       5.169	       4.483	           0	           0	    0.007717	   7.286e-09	    0.005237	   5.754e-10	      0.1424	   3.432e-11	   0.0008823	   1.002e-11	   0.0006514	  -6.866e-09	       5.169	   0.0001226	    0.007518	       0.012	   0.0009734	     0.00139	   0.0007906	     0.03712	   1.534e-06	   9.981e-06	   7.084e-06	    0.001883	     0.05082	      0.3498	    0.009436	    0.004199	
           1	          19	           1	      0.0925	         0.5	         0.5	          12	        5.17	       4.482	           0	           0	    0.007714	   1.634e-08	    0.005256	   7.859e-10	      0.1424	   7.581e-11	   0.0008823	   2.191e-11	   0.0006509	  -1.405e-08	        5.17	   0.0001237	    0.007513	     0.01201	   0.0009746	     0.00139	   0.0007898	     0.03698	    1.53e-06	   1.003e-05	   7.036e-06	    0.001883	     0.05069	      0.3498	    0.009456	    0.004201	
           1	          20	           1	      0.0975	         0.5	         0.5	          12	       5.171	        4.48	           0	           0	     0.00771	  -3.962e-09	    0.005273	   5.551e-11	      0.1424	  -7.041e-12	   0.0008823	  -5.682e-12	   0.0006515	   4.065e-09	       5.171	    0.000125	    0.007506	     0.01202	    0.000976	     0.00139	   0.0007887	     0.03681	   1.526e-06	   1.008e-05	   6.974e-06	    0.001883	     0.05052	      0.3498	    0.009477	    0.004203	
           1	          21	           1	      0.1025	         0.5	         0.5	          12	       5.173	       4.478	           0	           0	    0.007707	   3.145e-08	    0.005288	   5.148e-10	      0.1424	   1.582e-11	   0.0008823	   4.151e-11	   0.0006515	  -3.343e-08	       5.173	   0.0001267	    0.007497	     0.01203	   0.0009779	     0.00139	   0.0007874	     0.03658	   1.521e-06	   1.015e-05	   6.894e-06	    0.001884	      0.0503	      0.3498	    0.009495	    0.004207	
           1	          22	           1	      0.1075	         0.5	         0.5	          12	       5.174	       4.476	           0	           0	    0.007705	   2.307e-09	    0.005302	   2.561e-10	      0.1424	   4.677e-12	   0.0008823	   3.682e-12	   0.0006511	  -2.446e-10	       5.174	   0.0001288	    0.007487	     0.01204	   0.0009802	     0.00139	   0.0007857	     0.03628	   1.514e-06	   1.024e-05	   6.793e-06	    0.001884	     0.05002	      0.3498	    0.009514	    0.004212	
           1	          23	           1	      0.1125	         0.5	         0.5	          12	       5.176	       4.473	           0	           0	    0.007702	   7.125e-09	    0.005314	   6.343e-10	      0.1424	   4.794e-11	   0.0008823	    8.41e-12	   0.0006512	  -1.006e-08	       5.176	   0.0001314	    0.007474	     0.01206	   0.0009829	     0.00139	   0.0007837	     0.03591	   1.506e-06	   1.034e-05	   6.666e-06	    0.001884	     0.04966	      0.3498	    0.009532	    0.004218	
           1	          24	           1	      0.1175	         0.5	         0.5	          12	       5.179	       4.469	           0	           0	    0.007699	  -1.971e-08	    0.005325	  -3.282e-10	      0.1424	  -6.464e-12	   0.0008823	  -2.476e-11	   0.0006514	   1.938e-08	       5.179	   0.0001345	    0.007459	     0.01208	   0.0009863	    0.001389	   0.0007812	     0.03543	   1.495e-06	   1.047e-05	   6.507e-06	    0.001885	      0.0492	      0.3498	    0.009551	    0.004226	
