       COLNR	       ROWNR	         ZNR	           X	           Y	           Z	        TIME	          pH	          pe	     calcite	   d_calcite	    siderite	  d_siderite	      gypsum	    d_gypsum	     SiO2(a)	   d_SiO2(a)	    gibbsite	  d_gibbsite	  Fe(OH)3(a)	d_Fe(OH)3(a)	          pH	          Cl	        C(4)	          Ca	          Mg	          Na	           K	       Fe(2)	       Fe(3)	       Mn(2)	          Al	          Si	        S(6)	       water	         Cat	         Caq	
           1	           1	           1	      0.0025	         0.5	         0.5	           6	       4.209	       7.433	           0	           0	           0	           0	           0	           0	      0.1438	    5.67e-06	    0.005492	  -4.794e-06	    0.001491	   3.433e-06	       4.209	   0.0001199	   0.0008009	     0.01111	   0.0009701	     0.00139	   0.0007925	     0.03071	   2.135e-05	   9.866e-06	    0.004257	    0.001887	     0.05025	      0.3499	    0.003888	    0.003888	
           1	           2	           1	      0.0075	         0.5	         0.5	           6	       4.216	        7.41	           0	           0	           0	           0	           0	           0	      0.1426	    4.86e-07	    0.005989	    -3.8e-07	   0.0007429	   2.678e-07	       4.216	   0.0001205	    0.001068	     0.01142	    0.000971	     0.00139	   0.0007921	     0.03093	   2.086e-05	   9.894e-06	    0.004079	    0.001886	     0.05051	      0.3499	    0.003995	    0.003995	
           1	           3	           1	      0.0125	         0.5	         0.5	           6	        4.23	       7.366	           0	           0	           0	           0	    0.001112	  -4.472e-05	      0.1425	   7.942e-08	    0.005959	    2.63e-08	     0.00068	   1.988e-08	        4.23	   0.0001215	    0.001534	     0.01217	   0.0009721	     0.00139	   0.0007915	     0.03132	   1.997e-05	   9.935e-06	    0.003767	    0.001886	     0.05118	      0.3498	    0.005368	    0.004256	
           1	           4	           1	      0.0175	         0.5	         0.5	           6	       4.254	       7.285	           0	           0	           0	           0	    0.004284	   -3.36e-06	      0.1425	   4.105e-08	    0.005913	   4.689e-07	   0.0006746	  -2.894e-08	       4.254	   0.0001229	    0.002368	     0.01214	    0.000974	    0.001391	   0.0007906	     0.03205	   1.842e-05	   9.996e-06	    0.003213	    0.001885	     0.05104	      0.3497	    0.008529	    0.004245	
           1	           5	           1	      0.0225	         0.5	         0.5	           6	       4.312	       7.096	           0	           0	           0	           0	    0.004704	   1.157e-06	      0.1425	   7.473e-09	    0.005847	   4.777e-06	   0.0006761	  -1.723e-07	       4.312	    0.000125	    0.003911	     0.01209	   0.0009762	    0.001391	    0.000789	     0.03343	   1.527e-05	   1.008e-05	    0.002187	    0.001885	     0.05081	      0.3497	    0.008931	    0.004227	
           1	           6	           1	      0.0275	         0.5	         0.5	           6	       5.172	       4.479	           0	           0	   0.0008767	  -0.0002108	    0.004768	   4.973e-06	      0.1425	   1.135e-07	    0.005057	   0.0001281	   0.0006795	   7.979e-07	       5.172	   0.0001277	    0.007493	     0.01202	   0.0009792	     0.00139	   0.0007868	     0.03677	   1.524e-06	   1.019e-05	   6.946e-06	    0.001883	     0.05049	      0.3497	    0.008971	    0.004203	
           1	           7	           1	      0.0325	         0.5	         0.5	           6	       5.174	       4.475	           0	           0	    0.007263	  -1.767e-05	    0.004764	    1.83e-07	      0.1424	  -2.444e-08	    0.001233	   1.075e-05	   0.0006534	   4.296e-08	       5.174	   0.0001315	    0.007471	     0.01204	    0.000983	     0.00139	   0.0007835	      0.0364	   1.515e-06	   1.035e-05	   6.808e-06	    0.001884	     0.05014	      0.3498	    0.008975	     0.00421	
           1	           8	           1	      0.0375	         0.5	         0.5	           6	       5.177	        4.47	           0	           0	    0.007767	  -1.482e-06	    0.004841	   1.883e-08	      0.1424	  -4.213e-09	   0.0009119	   9.026e-07	   0.0006514	   4.352e-09	       5.177	   0.0001365	    0.007445	     0.01206	   0.0009885	    0.001389	   0.0007795	     0.03592	   1.503e-06	   1.055e-05	   6.632e-06	    0.001884	     0.04967	      0.3498	    0.009059	    0.004218	
           1	           9	           1	      0.0425	         0.5	         0.5	           6	       5.181	       4.463	           0	           0	    0.007796	  -1.196e-07	    0.004912	   3.836e-08	      0.1424	  -1.687e-12	   0.0008849	   7.607e-08	   0.0006511	   -3.17e-09	       5.181	   0.0001431	    0.007411	     0.01209	   0.0009957	    0.001388	   0.0007742	     0.03527	   1.486e-06	   1.082e-05	   6.401e-06	    0.001885	     0.04905	      0.3498	     0.00914	    0.004229	
           1	          10	           1	      0.0475	         0.5	         0.5	           6	       5.187	       4.455	           0	           0	    0.007789	   -6.61e-09	    0.004973	   6.948e-08	      0.1424	   4.453e-10	   0.0008826	   6.909e-09	    0.000651	    3.82e-09	       5.187	   0.0001515	    0.007367	     0.01213	    0.001005	    0.001388	   0.0007675	      0.0344	   1.465e-06	   1.117e-05	   6.106e-06	    0.001886	     0.04823	      0.3498	    0.009216	    0.004243	
