       COLNR	       ROWNR	         ZNR	           X	           Y	           Z	        TIME	          pH	          pe	     calcite	   d_calcite	    siderite	  d_siderite	      gypsum	    d_gypsum	     SiO2(a)	   d_SiO2(a)	    gibbsite	  d_gibbsite	  Fe(OH)3(a)	d_Fe(OH)3(a)	          pH	          Cl	        C(4)	          Ca	          Mg	          Na	           K	       Fe(2)	       Fe(3)	       Mn(2)	          Al	          Si	        S(6)	       water	         Cat	         Caq	
           1	          15	           1	      0.0725	         0.5	         0.5	          24	       4.206	       7.448	           0	           0	           0	           0	    0.005397	   1.185e-09	      0.1425	   2.939e-11	    0.005777	    6.24e-09	   0.0006726	  -9.853e-09	       4.206	   0.0001191	   0.0005583	      0.0122	   0.0009699	    0.001391	   0.0007938	     0.03056	   2.169e-05	    9.84e-06	    0.004424	    0.001886	     0.05143	      0.3497	    0.009661	    0.004264	
           1	          16	           1	      0.0775	         0.5	         0.5	          24	       4.207	       7.445	           0	           0	           0	           0	    0.005423	   9.226e-11	      0.1425	   6.359e-11	    0.005776	  -4.851e-09	   0.0006731	   8.391e-09	       4.207	   0.0001191	   0.0006044	     0.01219	   0.0009699	    0.001391	   0.0007938	      0.0306	   2.161e-05	    9.84e-06	    0.004393	    0.001886	     0.05143	      0.3497	    0.009686	    0.004264	
           1	          17	           1	      0.0825	         0.5	         0.5	          24	       4.209	       7.438	           0	           0	           0	           0	    0.005445	   7.731e-10	      0.1425	   4.201e-11	    0.005771	   4.621e-09	   0.0006733	  -8.697e-09	       4.209	   0.0001191	    0.000683	     0.01219	     0.00097	    0.001391	   0.0007938	     0.03068	   2.147e-05	    9.84e-06	    0.004341	    0.001886	     0.05143	      0.3497	    0.009708	    0.004262	
           1	          18	           1	      0.0875	         0.5	         0.5	          24	       4.212	       7.427	           0	           0	           0	           0	    0.005465	    1.94e-10	      0.1425	   7.489e-11	    0.005764	   5.694e-09	    0.000673	  -8.537e-09	       4.212	   0.0001191	   0.0008178	     0.01218	     0.00097	    0.001391	   0.0007938	     0.03082	   2.124e-05	    9.84e-06	    0.004252	    0.001886	     0.05142	      0.3497	    0.009725	    0.004261	
           1	          19	           1	      0.0925	         0.5	         0.5	          24	       4.217	       7.407	           0	           0	           0	           0	    0.005484	  -4.951e-10	      0.1425	   3.182e-11	    0.005765	  -4.559e-09	   0.0006738	   4.541e-09	       4.217	   0.0001191	     0.00105	     0.01218	     0.00097	    0.001391	   0.0007938	     0.03105	   2.084e-05	    9.84e-06	    0.004099	    0.001886	     0.05141	      0.3497	    0.009742	    0.004257	
           1	          20	           1	      0.0975	         0.5	         0.5	          24	       4.228	       7.372	           0	           0	           0	           0	    0.005502	   9.249e-10	      0.1425	   4.152e-11	    0.005763	   8.883e-09	   0.0006741	  -1.501e-08	       4.228	   0.0001191	    0.001446	     0.01216	     0.00097	    0.001391	   0.0007938	     0.03145	   2.014e-05	    9.84e-06	    0.003836	    0.001885	      0.0514	      0.3497	    0.009754	    0.004252	
           1	          21	           1	      0.1025	         0.5	         0.5	          24	       4.246	       7.308	           0	           0	           0	           0	    0.005515	   5.315e-10	      0.1425	   4.391e-11	    0.005757	   6.628e-09	   0.0006748	  -1.153e-08	       4.246	   0.0001191	    0.002105	     0.01213	     0.00097	    0.001391	   0.0007938	      0.0321	   1.894e-05	    9.84e-06	    0.003401	    0.001885	     0.05137	      0.3497	    0.009758	    0.004243	
           1	          22	           1	      0.1075	         0.5	         0.5	          24	        4.28	       7.194	           0	           0	           0	           0	    0.005524	   8.592e-10	      0.1425	   4.714e-11	     0.00574	   1.086e-08	   0.0006744	  -1.456e-08	        4.28	   0.0001191	    0.003141	     0.01209	     0.00097	    0.001391	   0.0007938	     0.03314	   1.693e-05	    9.84e-06	    0.002716	    0.001885	     0.05133	      0.3497	    0.009753	    0.004229	
           1	          23	           1	      0.1125	         0.5	         0.5	          24	        4.35	       6.967	           0	           0	           0	           0	    0.005492	   9.256e-10	      0.1425	  -7.219e-13	    0.005594	   6.604e-09	   0.0006802	  -8.933e-09	        4.35	   0.0001191	    0.004681	     0.01204	     0.00097	    0.001391	   0.0007938	     0.03468	   1.353e-05	    9.84e-06	    0.001703	    0.001884	     0.05128	      0.3497	    0.009701	    0.004209	
           1	          24	           1	      0.1175	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.005596	  -2.188e-08	    0.005349	  -2.114e-10	      0.1424	   3.686e-11	    0.002105	   8.613e-09	   0.0006616	   7.422e-09	       5.167	   0.0001191	    0.007538	     0.01198	   0.0009697	    0.001391	   0.0007935	     0.03753	   1.543e-06	   9.837e-06	   7.235e-06	    0.001883	     0.05121	      0.3498	     0.00954	    0.004192	
